id,brand,website,cate_1,cate_2,cate_3,cate_4,cate_5,cate_6,merge
1,9Anime,https://9anime.to,Anime Streaming Sites,Free TV Shows Streaming Sites,,,,,"Anime Streaming Sites,Free TV Shows Streaming Sites"
2,AbemaTV,https://abema.tv,Free Live TV Streaming Sites,Free Movies Streaming Sites,Anime Streaming Sites,,,,"Free Live TV Streaming Sites,Free Movies Streaming Sites,Anime Streaming Sites"
3,All 4,https://www.channel4.com,Free Live TV Streaming Sites,Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Live TV Streaming Sites,Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
4,Amazon Video,https://www.amazon.com/gp/video/storefront/,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
5,Anilab,https://anilab.to/,Anime Streaming Sites,Free Streaming Apps,,,,,"Anime Streaming Sites,Free Streaming Apps"
6,AnimeHeaven,https://animeheaven.me,Anime Streaming Sites,,,,,,Anime Streaming Sites
7,AnimeKai,https://animekai.net,Anime Streaming Sites,,,,,,Anime Streaming Sites
8,Animepahe,https://animepahe.ru,Anime Streaming Sites,,,,,,Anime Streaming Sites
9,AniWatch,https://aniwatchtv.to,Anime Streaming Sites,,,,,,Anime Streaming Sites
10,Apple TV+,https://tv.apple.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
11,AsianCrush,https://www.asiancrush.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
12,Bandai Channel,https://www.b-ch.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
13,Bilibili,https://www.bilibili.tv,Free Live TV Streaming Sites,Anime Streaming Sites,Free Streaming Apps,,,,"Free Live TV Streaming Sites,Anime Streaming Sites,Free Streaming Apps"
14,Blim TV,https://www.blim.tv,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
15,Boredflix,https://boredflix.com/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
16,Canal+,https://www.canalplus.com,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
17,Cineby,www.cineby.gd,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
18,Claro Video,https://www.clarovideo.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
19,CONtv,https://www.con.tv,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Anime Streaming Sites,Free Streaming Apps,,,"Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Anime Streaming Sites,Free Streaming Apps"
20,Crackle,https://www.crackle.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
21,Crunchyroll,https://www.crunchyroll.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
22,d Anime Store,https://animestore.docomo.ne.jp,Anime Streaming Sites,,,,,,Anime Streaming Sites
23,DirecTV Stream,https://www.directv.com/stream,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
24,Discovery+,https://www.discoveryplus.com,Free Streaming Apps,Best Movie Streaming Sites,,,,,"Free Streaming Apps,Best Movie Streaming Sites"
25,Disney+,https://www.disneyplus.com,Anime Streaming Sites,Best Movie Streaming Sites,,,,,"Anime Streaming Sites,Best Movie Streaming Sites"
26,Disney+ Hotstar,https://www.hotstar.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
27,DMM TV,https://tv.dmm.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
28,DoraWatch,https://dorawatch.net/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
29,Flixtor,https://flixtor.to,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
30,Fmovies,https://ww4.fmovies.co/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
31,fubo,https://www.fubo.tv,Live TV Streaming Sites,,,,,,Live TV Streaming Sites
32,Globoplay,https://globoplay.globo.com,Best Movie Streaming Sites,Free TV Shows Streaming Sites,,,,,"Best Movie Streaming Sites,Free TV Shows Streaming Sites"
33,Gogoanime,https://gogoanime3.net,Anime Streaming Sites,Free Movies Streaming Sites,Free TV Shows Streaming Sites,,,,"Anime Streaming Sites,Free Movies Streaming Sites,Free TV Shows Streaming Sites"
34,Goojara,https://ww1.goojara.to/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
35,Hianime,https://hianime.to,Anime Streaming Sites,,,,,,Anime Streaming Sites
36,HIDIVE,https://www.hidive.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
37,Hoopla,https://www.hoopladigital.com,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
38,Hulu,https://www.hulu.com,Live TV Streaming Sites,Anime Streaming Sites,Best Movie Streaming Sites,,,,"Live TV Streaming Sites,Anime Streaming Sites,Best Movie Streaming Sites"
39,Iflix,https://www.iflix.com,Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps,,,,"Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps"
40,iQIYI,https://www.iqiyi.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
41,JioCinema,https://www.jiocinema.com,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,,"Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
42,Kanopy,https://www.kanopy.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
43,MappleTV,https://mapple.mov/,Free Movies Streaming Sites,Free Streaming Apps,,,,,"Free Movies Streaming Sites,Free Streaming Apps"
44,Max (HBO Max),https://www.max.com,Best Movie Streaming Sites,Anime Streaming Sites,,,,,"Best Movie Streaming Sites,Anime Streaming Sites"
45,MGM+,https://www.mgmplus.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
46,Milplus,https://lp.milplus.jp/,Anime Streaming Sites,,,,,,Anime Streaming Sites
47,MX Player,https://www.mxplayer.in,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
48,MyVideo,https://www.myvideo.net.tw,Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps,,,,"Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps"
49,Netflix,https://www.netflix.com,Best Movie Streaming Sites,Anime Streaming Sites,,,,,"Best Movie Streaming Sites,Anime Streaming Sites"
50,Nico Nico Channel,https://ch.nicovideo.jp,Anime Streaming Sites,,,,,,Anime Streaming Sites
51,Now TV,https://www.nowtv.com,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
52,Paramount+,https://www.paramountplus.com,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
53,Peacock,https://www.peacocktv.com,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
54,Philo,https://www.philo.com,Live TV Streaming Sites,,,,,,Live TV Streaming Sites
55,Pluto TV,https://pluto.tv,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
56,Popcornflix,https://www.popcornflix.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
57,PopcornMovies,popcornmovies.org,Free Streaming Apps,,,,,,Free Streaming Apps
58,PressPlay,pressplay.top,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
59,Prime Video,https://www.primevideo.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
60,Project Free TV,https://www.projectfreetv.lol/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
62,Redbox,https://www.redbox.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
63,RetroCrush,https://www.retrocrush.tv,Anime Streaming Sites,Free Streaming Apps,,,,,"Anime Streaming Sites,Free Streaming Apps"
64,RidoMovies,https://ridomovies.tv/channels,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
65,Series2Watch,https://series2watch.tv,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
66,Showmax,https://www.showmax.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
67,Sky Go/Now,https://www.sky.com/watch/now,Live TV Streaming Sites,Best Movie Streaming Sites,,,,,"Live TV Streaming Sites,Best Movie Streaming Sites"
68,Sling TV,https://www.sling.com,Live TV Streaming Sites,,,,,,Live TV Streaming Sites
69,SonyLIV,https://www.sonyliv.com,Free TV Shows Streaming Sites,Free Streaming Apps,Free Movies Streaming Sites,Free Live TV Streaming Sites,,,"Free TV Shows Streaming Sites,Free Streaming Apps,Free Movies Streaming Sites,Free Live TV Streaming Sites"
70,Starz,https://www.starz.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
71,Tencent Video,https://v.qq.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
72,Tubi,https://tubitv.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites"
73,U-NEXT,https://video.unext.jp,Anime Streaming Sites,,,,,,Anime Streaming Sites
74,Viu,https://www.viu.com,Anime Streaming Sites,Best Movie Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Anime Streaming Sites,Best Movie Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
75,VIZ Media,https://www.viz.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
76,Vudu,https://www.vudu.com,Free Movies Streaming Sites,Best Movie Streaming Sites,,,,,"Free Movies Streaming Sites,Best Movie Streaming Sites"
77,VVVVID,https://www.vvvvid.it,Anime Streaming Sites,,,,,,Anime Streaming Sites
78,WMovies,https://wmovies.one/,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
79,Wuaki.tv,https://www.wuaki.tv,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
80,YouTube TV,https://tv.youtube.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites"
81,Zee5,https://www.zee5.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
82,Zoro.to,https://zoro.to,Anime Streaming Sites,,,,,,Anime Streaming Sites
83,123Movies,https://ww22.0123movie.net/home.html,Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites,Best Movie Streaming Sites,Free TV Shows Streaming Sites,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Live TV Streaming Sites,Anime Streaming Sites"
84,2Flix,https://2flix.to,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
85,AniWave,https://aniwave.to,Anime Streaming Sites,,,,,,Anime Streaming Sites
86,AnimeParadise,https://www.animeparadise.moe/,Anime Streaming Sites,,,,,,Anime Streaming Sites
87,Astro,https://astro.com.my,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
88,BluTV,https://www.blutv.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
89,Crave,https://crave.ca,Live TV Streaming Sites,,,,,,Live TV Streaming Sites
90,FilmRise,https://filmrise.com,Free Movies Streaming Sites,Free Live TV Streaming Sites,,,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites"
91,Fetch TV,https://www.fetchtv.com.au,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
92,Flixbaba,https://flixbaba.com,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
93,GO3,https://go3.tv,Live TV Streaming Sites,,,,,,Live TV Streaming Sites
94,Hikari,https://hikari.to,Anime Streaming Sites,,,,,,Anime Streaming Sites
95,irokotv,https://irokotv.com,Anime Streaming Sites,,,,,,Anime Streaming Sites
96,KinoPoisk,https://www.kinopoisk.ru,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
97,Kodi,https://kodi.tv,Free Streaming Apps,,,,,,Free Streaming Apps
98,Ligga Play,https://liggoplay.com.br,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
99,Plex,https://plex.tv,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
100,Shahid,https://shahid.net,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
101,Siara+,https://siara.tv,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
102,Solarmovie,https://solarmovie.pe,Free Movies Streaming Sites,,,,,,Free Movies Streaming Sites
103,Stremio,https://www.stremio.com,Free Streaming Apps,,,,,,Free Streaming Apps
104,Tata Play Binge,https://tata.playbinge.com,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
105,WatchIT,https://watchit.gr,Best Movie Streaming Sites,,,,,,Best Movie Streaming Sites
